domanda,risposta,id,front,back,last_review,interval,ease_factor,repetitions,last_confidence,chapter,removed
Porter's Value Chain model divides an organization's processes into which two main categories?,Primary processes and support processes.,599a1d17-3e59-4580-9069-277089721537,Porter's Value Chain model divides an organization's processes into which two main categories?,Primary processes and support processes.,2026-01-31T09:22:39.137202,1,2.36,1,3,2.0,0
"The analytical approach to process identification is based on a _____ analysis, starting from external actors and reconstructing the process backwards.",Top-down.,cec6b3dc-2ed0-4a7a-81be-eb0e6844b184,"The analytical approach to process identification is based on a _____ analysis, starting from external actors and reconstructing the process backwards.",Top-down.,2026-01-29T08:49:23.358372,1,2.36,1,3,2.0,1
What is the term for the complete set of software applications used by a company to support its business functions?,The application portfolio.,faad8059-d865-4a93-bc44-ac08b3fb1241,What is the term for the complete set of software applications used by a company to support its business functions?,The application portfolio.,2026-01-30T10:43:48.961921,1,2.36,1,3,3.0,0
"In application development strategy, what does the term COTS stand for?",Commercial Off-The-Shelf software.,dc564b78-88f9-41a8-ab3d-1a1d3688dfa1,"In application development strategy, what does the term COTS stand for?",Commercial Off-The-Shelf software.,2026-01-30T10:43:59.794480,1,2.36,1,3,3.0,0
"What is the term for systems that manage, control, and optimize data access and manipulation?",DBMS (Database Management Systems).,47b13a5a-2664-4c9a-96dc-f1be818f39e7,"What is the term for systems that manage, control, and optimize data access and manipulation?",DBMS (Database Management Systems).,2026-01-30T09:10:15.395299,1,2.36,1,3,4.0,0
"The three logical layers of an application's structure are the presentation layer (P), the application logic layer (A), and the _____ layer (D).",Data access logic.,e4cd6e80-e681-4152-b74a-9016de86de1b,"The three logical layers of an application's structure are the presentation layer (P), the application logic layer (A), and the _____ layer (D).",Data access logic.,2026-01-30T10:43:38.446234,6,2.22,2,3,3.0,0
"What is the term for a system inherited from the past, developed with older technologies, but still very important for an organization?",A legacy system.,20428044-740e-4d18-bff0-73db56430c4f,"What is the term for a system inherited from the past, developed with older technologies, but still very important for an organization?",A legacy system.,,0,2.5,0,0,3.0,1
What type of software suite offers modules to support an organization's internal operational activities and enterprise management?,ERP (Enterprise Resource Planning).,db3becdf-e758-4cab-b618-7595f1f5570f,What type of software suite offers modules to support an organization's internal operational activities and enterprise management?,ERP (Enterprise Resource Planning).,2026-01-30T12:19:50.606931,6,2.14,2,5,3.0,0
What are the three fundamental properties of ERP systems?,"Uniqueness of information, modularity, and prescriptiveness.",ed6aa5f5-a783-4478-9440-c297258039f8,What are the three fundamental properties of ERP systems?,"Uniqueness of information, modularity, and prescriptiveness.",2026-01-30T10:43:31.793441,1,2.36,1,3,3.0,0
What does the 'prescriptiveness' property of an ERP system mean?,"It means the ERP product incorporates a pre-defined operating logic and business rules, requiring the company to adapt to the software's processes.",bf4af5cd-cffd-4eda-ba14-765de48bf04b,What does the 'prescriptiveness' property of an ERP system mean?,"It means the ERP product incorporates a pre-defined operating logic and business rules, requiring the company to adapt to the software's processes.",2026-01-30T10:38:42.762103,6,2.22,2,3,3.0,0
What type of system is a set of modules supporting a strategy for managing interactions with potential and existing customers?,CRM (Customer Relationship Management).,1a8dbcab-9e26-4b3f-b540-1fcb708666fe,What type of system is a set of modules supporting a strategy for managing interactions with potential and existing customers?,CRM (Customer Relationship Management).,2026-01-30T10:36:03.360366,1,2.36,1,3,3.0,0
What are the three main types of CRM systems?,"Operational CRM, Analytical CRM, and Collaborative CRM.",d2a00954-5663-4d69-adf3-8d92b76a3e42,What are the three main types of CRM systems?,"Operational CRM, Analytical CRM, and Collaborative CRM.",2026-01-30T10:41:32.414388,1,2.36,1,3,3.0,0
"Which type of CRM focuses on the automation of customer-facing processes such as sales, marketing, and customer service?",Operational CRM.,4892cd1d-8dda-4fda-85ef-e6f32d3bf33e,"Which type of CRM focuses on the automation of customer-facing processes such as sales, marketing, and customer service?",Operational CRM.,2026-01-30T10:36:43.627450,1,2.36,1,3,3.0,0
Which type of CRM uses data mining and other techniques to analyze customer data and provide insights for business decisions?,Analytical CRM.,f39cead9-64d2-4e81-bc3c-57171ee3717b,Which type of CRM uses data mining and other techniques to analyze customer data and provide insights for business decisions?,Analytical CRM.,2026-01-30T10:38:40.784298,6,2.22,2,3,3.0,0
Which type of CRM aims to share customer data and insights with internal stakeholders to compute company-wide metrics like customer profitability?,Collaborative CRM.,8ec5c787-b9ba-42e7-8ac9-1d9fbc59d2c5,Which type of CRM aims to share customer data and insights with internal stakeholders to compute company-wide metrics like customer profitability?,Collaborative CRM.,2026-01-30T10:44:13.905665,1,2.36,1,3,3.0,0
"A _____ is an archive containing an organization's data, designed with a multidimensional model to facilitate analysis for managerial decisions.",Data Warehouse (DW).,58b3548e-0d62-4a34-8784-c2616260fd66,"A _____ is an archive containing an organization's data, designed with a multidimensional model to facilitate analysis for managerial decisions.",Data Warehouse (DW).,2026-01-30T10:41:21.810059,1,2.36,1,3,4.0,0
What are the three key features of a data warehouse?,"It is subject-oriented, integrated, and time-variant.",eba2a66b-fa5c-4dd7-8741-7472ad458c13,What are the three key features of a data warehouse?,"It is subject-oriented, integrated, and time-variant.",2026-01-30T10:36:09.404556,1,2.36,1,3,4.0,0
Data warehouse systems are based on OLAP and adhere to the FASMI properties. What does FASMI stand for?,"Fast, Analytical, Shared, Multidimensional, Informational.",e5f80c7c-f5aa-42fd-8381-08cc458718a0,Data warehouse systems are based on OLAP and adhere to the FASMI properties. What does FASMI stand for?,"Fast, Analytical, Shared, Multidimensional, Informational.",2026-01-30T09:09:48.329075,6,2.22,2,3,4.0,0
"What is the three-step process used to extract data from source systems, clean and reconcile it, and load it into a data warehouse?","ETL (Extraction, Transformation, and Loading).",3e7992e5-88d5-4144-a426-f07d537ec049,"What is the three-step process used to extract data from source systems, clean and reconcile it, and load it into a data warehouse?","ETL (Extraction, Transformation, and Loading).",2026-01-30T09:10:40.931836,1,2.36,1,3,4.0,0
"In a data warehouse, what component describes the structure of the data, its origin, the transformations applied, and usage statistics?",Metadata.,c1289c09-6aff-4fee-88d6-e342b67d8be1,"In a data warehouse, what component describes the structure of the data, its origin, the transformations applied, and usage statistics?",Metadata.,2026-01-30T09:10:31.708661,1,2.36,1,3,4.0,0
"What is the most common logical model for a data warehouse, featuring a central fact table connected to multiple dimension tables?",The star schema.,63e64621-d75d-424d-85ad-2815ed15287c,"What is the most common logical model for a data warehouse, featuring a central fact table connected to multiple dimension tables?",The star schema.,2026-01-30T09:09:20.725310,1,2.36,1,3,4.0,0
What is the name for the OLAP operation that allows obtaining more detailed data by descending along a dimension's hierarchy?,Drill-down.,3417ca7e-305d-4aa9-9bc4-ec4552db04b1,What is the name for the OLAP operation that allows obtaining more detailed data by descending along a dimension's hierarchy?,Drill-down.,2026-01-30T09:10:23.832758,1,2.36,1,3,4.0,0
What is the name for the OLAP operation that reduces the level of detail by moving to a coarser level of granularity along a dimension?,Roll-up.,d5f4b0dd-5ea9-4d3c-adfd-87ea27b2f4fb,What is the name for the OLAP operation that reduces the level of detail by moving to a coarser level of granularity along a dimension?,Roll-up.,2026-01-30T09:12:44.611409,1,2.36,1,3,4.0,0
What is the activity aimed at automatically recognizing and extracting hidden information from large databases like a data warehouse?,Data mining.,53561a02-cf1c-482f-bd03-bc1830a84393,What is the activity aimed at automatically recognizing and extracting hidden information from large databases like a data warehouse?,Data mining.,2026-01-30T09:07:53.113368,6,2.22,2,3,4.0,0
"In data mining, _____ learning techniques use a labeled dataset (training set) to build a predictive model.",Supervised.,c46a0e07-9302-4260-969a-6924417b0aab,"In data mining, _____ learning techniques use a labeled dataset (training set) to build a predictive model.",Supervised.,2026-01-30T10:42:22.066433,1,2.36,1,3,4.0,0
"In data mining, _____ learning techniques identify recurring regularities or rules in a dataset without a predefined target variable.",Unsupervised.,9927da96-aae0-4b3a-bebd-d94283ee1015,"In data mining, _____ learning techniques identify recurring regularities or rules in a dataset without a predefined target variable.",Unsupervised.,2026-01-30T09:13:17.076436,1,2.36,1,3,4.0,0
"What data mining technique describes relationships between different database attributes, often expressed in the form $A \Rightarrow B$?",Association rules.,8a109b0c-8436-4799-82e3-7eeecdd22db9,"What data mining technique describes relationships between different database attributes, often expressed in the form $A \Rightarrow B$?",Association rules.,2026-01-30T09:07:47.202521,1,2.36,1,3,4.0,0
"In association rule analysis, what metric measures how many times the consequent occurs when the antecedent occurs?",Confidence.,6b1f6a4f-b30c-466c-9630-e6f6c5ddef6d,"In association rule analysis, what metric measures how many times the consequent occurs when the antecedent occurs?",Confidence.,2026-01-30T10:38:31.389461,6,2.22,2,3,4.0,0
What data mining technique automatically assigns database elements to predefined classes by building a model from a training set?,Classification.,da49d268-53c4-4190-939b-67a2107a57dd,What data mining technique automatically assigns database elements to predefined classes by building a model from a training set?,Classification.,2026-01-30T10:24:16.854432,1,2.36,1,3,4.0,0
What data mining technique groups a set of objects in such a way that objects in the same group (cluster) are more similar to each other than to those in other groups?,Clustering.,8137328c-6c15-4efb-b639-2bac2d800fd2,What data mining technique groups a set of objects in such a way that objects in the same group (cluster) are more similar to each other than to those in other groups?,Clustering.,2026-01-30T09:08:20.393533,1,2.36,1,3,4.0,0
"Which analytical approach analyzes business processes based on monitoring data generated by their execution, captured in event logs?",Process Mining.,42dbf267-0179-4c8b-b3d6-cc4e8131e860,"Which analytical approach analyzes business processes based on monitoring data generated by their execution, captured in event logs?",Process Mining.,,0,2.5,0,0,2.0,1
What are the three main types of process mining techniques?,"Process Discovery, Conformance Checking, and Enhancement.",9ce0ba2c-541c-49ab-8151-eba2b6b41957,What are the three main types of process mining techniques?,"Process Discovery, Conformance Checking, and Enhancement.",2026-01-30T09:14:50.447883,1,2.36,1,3,4.0,0
Which process mining technique compares a pre-existing process model with an event log to verify if reality conforms to the model?,Conformance checking.,90f639b7-8292-44d4-89bf-197c7f7f0d21,Which process mining technique compares a pre-existing process model with an event log to verify if reality conforms to the model?,Conformance checking.,,0,2.5,0,0,2.0,1
"The software layer that enables communication and data management between different applications, often used for database integration, is called _____.",Middleware.,0c86859a-9521-4c45-94f0-2218363dbc5a,"The software layer that enables communication and data management between different applications, often used for database integration, is called _____.",Middleware.,,0,2.5,0,0,5.0,0
"What is the software design paradigm where functionalities are implemented as modular, self-contained services that can be remotely queried over a network?",Service-Oriented Architecture (SOA).,32f6c8c1-300c-4e52-a465-7a712ec312b1,"What is the software design paradigm where functionalities are implemented as modular, self-contained services that can be remotely queried over a network?",Service-Oriented Architecture (SOA).,,0,2.5,0,0,5.0,0
"In SOA, what is the name of the quality agreement with consumers that defines non-functional characteristics like response time and availability?",SLA (Service Level Agreement).,74cc5c62-8843-4d38-acef-c218b2f512b2,"In SOA, what is the name of the quality agreement with consumers that defines non-functional characteristics like response time and availability?",SLA (Service Level Agreement).,,0,2.5,0,0,5.0,0
"What architectural style, often used as an alternative to SOAP in SOA, makes requests directly to a resource via its URI using standard HTTP methods?",REST (Representational State Transfer).,3ba48d4c-eb45-4e4c-b145-10169affa157,"What architectural style, often used as an alternative to SOAP in SOA, makes requests directly to a resource via its URI using standard HTTP methods?",REST (Representational State Transfer).,,0,2.5,0,0,5.0,0
What is the term for defining the sequence in which individual services are invoked to create a more complex business service?,Service orchestration.,2a0f09eb-a871-44f7-8115-eb2a250ded99,What is the term for defining the sequence in which individual services are invoked to create a more complex business service?,Service orchestration.,,0,2.5,0,0,5.0,0
"In distributed systems, the software logical levels are called layers, while the hardware levels they are installed on are called _____.",Tiers.,ce162a2a-36c5-4e66-a0ab-c39970a855d3,"In distributed systems, the software logical levels are called layers, while the hardware levels they are installed on are called _____.",Tiers.,,0,2.5,0,0,5.0,0
"In a two-tiered architecture, a client that only handles the presentation logic, such as a web browser, is known as a _____ client.",Thin client.,3bf78aeb-3562-4b08-859e-89689b9e4a7c,"In a two-tiered architecture, a client that only handles the presentation logic, such as a web browser, is known as a _____ client.",Thin client.,,0,2.5,0,0,5.0,0
"In a two-tiered architecture, a client that contains both presentation and application logic, like a smartphone app, is known as a _____ client.",Thick client (or fat client).,198328b8-c2cf-44be-87f1-e673e0f10771,"In a two-tiered architecture, a client that contains both presentation and application logic, like a smartphone app, is known as a _____ client.",Thick client (or fat client).,,0,2.5,0,0,5.0,0
What is the term for a system's ability to handle a growing amount of work by adding resources?,Scalability.,0645b40f-abc6-4a5a-927a-d7079bf9b224,What is the term for a system's ability to handle a growing amount of work by adding resources?,Scalability.,2026-01-28T10:09:57.110223,1,2.36,1,3,7.0,0
"Increasing a system's capacity by upgrading a single machine with more powerful components (e.g., more RAM or a faster CPU) is known as _____.",Vertical scalability (or scale-up).,47a41aa7-b2e9-4273-bbb8-6d97cc1f0184,"Increasing a system's capacity by upgrading a single machine with more powerful components (e.g., more RAM or a faster CPU) is known as _____.",Vertical scalability (or scale-up).,,0,2.5,0,0,5.0,0
Increasing a system's capacity by adding more machines to a resource pool is known as _____.,Horizontal scalability (or scale-out).,a104aa68-a1f6-4e2d-8f7d-fc9908ea9272,Increasing a system's capacity by adding more machines to a resource pool is known as _____.,Horizontal scalability (or scale-out).,,0,2.5,0,0,5.0,0
The property of a system to not only increase resources in response to demand but also to reduce them when demand falls is known as _____.,Elasticity.,65d63392-4cfb-458b-81c2-2e250bdfb9a9,The property of a system to not only increase resources in response to demand but also to reduce them when demand falls is known as _____.,Elasticity.,2026-01-28T10:10:34.976902,1,2.36,1,3,7.0,0
What is the term for a set of computing units that share processing load and are seen by other systems as a single resource?,A server farm.,c5320622-1915-43a1-b09f-0e8c4b8f31f9,What is the term for a set of computing units that share processing load and are seen by other systems as a single resource?,A server farm.,,0,2.5,0,0,5.0,0
"What technology allows multiple operating systems to run on a single physical machine, with each having access to the underlying hardware resources?",Virtualization.,212752c5-086d-407a-ba3f-41280310fd03,"What technology allows multiple operating systems to run on a single physical machine, with each having access to the underlying hardware resources?",Virtualization.,,0,2.5,0,0,2.0,1
What computing model delivers on-demand computing services—from applications to storage and processing power—typically over the internet on a pay-as-you-go basis?,Cloud Computing.,2c749080-bcec-4874-9509-fee21ac274dd,What computing model delivers on-demand computing services—from applications to storage and processing power—typically over the internet on a pay-as-you-go basis?,Cloud Computing.,,0,2.5,0,0,5.0,0
What are the three main service models in Cloud Computing?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).",bba0df53-0663-40f3-80e0-bc57ef3da7f9,What are the three main service models in Cloud Computing?,"Infrastructure as a Service (IaaS), Platform as a Service (PaaS), and Software as a Service (SaaS).",,0,2.5,0,0,5.0,0
What are the four main deployment models for Cloud Computing?,"Public cloud, private cloud, hybrid cloud, and community cloud.",0b879a81-f091-4238-adbb-a5ea0eec3df0,What are the four main deployment models for Cloud Computing?,"Public cloud, private cloud, hybrid cloud, and community cloud.",,0,2.5,0,0,5.0,0
Which security property ensures that information is not altered by unauthorized users or processes?,Integrity.,1ac96d4b-bdd4-4107-928a-306ba6b10440,Which security property ensures that information is not altered by unauthorized users or processes?,Integrity.,,0,2.5,0,0,7.0,0
Which security property ensures that the recipient of information can verify the sender's identity and that the sender cannot deny its origin?,Authenticity (which includes non-repudiation).,e3dd25dd-ec80-4680-bbe9-e87d7c813d94,Which security property ensures that the recipient of information can verify the sender's identity and that the sender cannot deny its origin?,Authenticity (which includes non-repudiation).,,0,2.5,0,0,7.0,0
Which security property ensures that no users can obtain information they are not authorized to know?,Confidentiality.,a7e1a2f2-2c81-4b17-be48-c0ebc7be18d3,Which security property ensures that no users can obtain information they are not authorized to know?,Confidentiality.,,0,2.5,0,0,7.0,0
Which security property ensures that information and resources are available to each authorized user within the expected time and modalities?,Availability.,0edee790-0dfe-4199-9bf2-beee453d99eb,Which security property ensures that information and resources are available to each authorized user within the expected time and modalities?,Availability.,2026-01-28T10:14:20.112856,1,2.36,1,3,7.0,0
"In cryptography, which type of algorithm uses the same key for both encryption and decryption?",Symmetric cryptography.,ed916289-3aef-447f-b23c-be27b2127028,"In cryptography, which type of algorithm uses the same key for both encryption and decryption?",Symmetric cryptography.,,0,2.5,0,0,7.0,0
"In cryptography, which type of algorithm uses a pair of keys, one public for encryption and one private for decryption?",Asymmetric cryptography.,8e31ee6a-3de8-4268-a1dd-7c74b75f0c5f,"In cryptography, which type of algorithm uses a pair of keys, one public for encryption and one private for decryption?",Asymmetric cryptography.,,0,2.5,0,0,7.0,0
"What is a function that transforms a message of arbitrary length into a fixed-length output, also called a digest or digital fingerprint, used to verify integrity?",A hash function.,7ceae110-eaa9-4788-a98c-d81eefe2923e,"What is a function that transforms a message of arbitrary length into a fixed-length output, also called a digest or digital fingerprint, used to verify integrity?",A hash function.,,0,2.5,0,0,7.0,0
A _____ is created by encrypting the digest (hash) of a document with the sender's private key.,Digital signature.,310ab600-dd65-42d6-a5bd-688c41b61740,A _____ is created by encrypting the digest (hash) of a document with the sender's private key.,Digital signature.,,0,2.5,0,0,7.0,0
What trusted third-party entity issues digital certificates to verify the ownership of a public key?,A Certification Authority (CA).,835c8c24-db7b-4102-90f3-30fd78372897,What trusted third-party entity issues digital certificates to verify the ownership of a public key?,A Certification Authority (CA).,,0,2.5,0,0,7.0,0
What is the term for a password that is valid for only one login session or transaction?,One Time Password (OTP).,493f66fb-270e-495b-8f46-0e6217b3b386,What is the term for a password that is valid for only one login session or transaction?,One Time Password (OTP).,,0,2.5,0,0,7.0,0
What access control model allows the owner of an object to determine who is allowed to access it?,Discretionary Access Control (DAC).,07afa80d-80cb-4ad3-8fa7-1dd48bf68ce5,What access control model allows the owner of an object to determine who is allowed to access it?,Discretionary Access Control (DAC).,2026-01-26T09:32:09.083441,1,2.36,1,3,7.0,0
What access control model bases access rights on security labels assigned to both subjects (users) and objects (data)?,Mandatory Access Control (MAC).,821e4cff-528b-4436-bbf8-b6b44483eebe,What access control model bases access rights on security labels assigned to both subjects (users) and objects (data)?,Mandatory Access Control (MAC).,,0,2.5,0,0,7.0,0
"In MAC, the 'No-Read-Up' rule, also called the Simple Security Property, states that a subject can read an object only if the subject's clearance level is _____ the object's classification level.",Greater than or equal to (dominates).,e2329c19-adca-4c29-92c5-0969b863f9b0,"In MAC, the 'No-Read-Up' rule, also called the Simple Security Property, states that a subject can read an object only if the subject's clearance level is _____ the object's classification level.",Greater than or equal to (dominates).,,0,2.5,0,0,3.0,1
"In MAC, the 'No-Write-Down' rule, also called the *-property, states that a subject can write to an object only if the subject's clearance level is _____ the object's classification level.",Less than or equal to.,c6b916ce-ae16-434e-a6e4-1c3fe57101c9,"In MAC, the 'No-Write-Down' rule, also called the *-property, states that a subject can write to an object only if the subject's clearance level is _____ the object's classification level.",Less than or equal to.,,0,2.5,0,0,3.0,1
What type of database attack involves inserting malicious code into queries to manipulate the database?,SQL Injection.,77dc4bb6-a78f-4a5b-97fa-9a448e1e4469,What type of database attack involves inserting malicious code into queries to manipulate the database?,SQL Injection.,,0,2.5,0,0,7.0,0
What network security device monitors and controls incoming and outgoing network traffic based on predetermined security rules?,A firewall.,d0c99573-c0e8-484e-9082-cebbc8754419,What network security device monitors and controls incoming and outgoing network traffic based on predetermined security rules?,A firewall.,,0,2.5,0,0,7.0,0
A perimeter network that adds an extra layer of security between an organization's internal network and an external network is called a _____.,DMZ (DeMilitarized Zone).,a80184c6-f5f5-41a3-93ad-b012d0db5c50,A perimeter network that adds an extra layer of security between an organization's internal network and an external network is called a _____.,DMZ (DeMilitarized Zone).,,0,2.5,0,0,7.0,0
What type of security system monitors network or system activities for malicious activities or policy violations and produces alerts?,An Intrusion Detection System (IDS).,0b4f63e2-c8e2-49c2-b040-37587944fbb7,What type of security system monitors network or system activities for malicious activities or policy violations and produces alerts?,An Intrusion Detection System (IDS).,,0,2.5,0,0,7.0,0
An IDS that analyzes activity by comparing it to signatures of known attacks is using _____ detection.,Misuse detection.,f4439975-06e7-4e9a-83a0-b8e6aaabfdac,An IDS that analyzes activity by comparing it to signatures of known attacks is using _____ detection.,Misuse detection.,,0,2.5,0,0,7.0,0
An IDS that identifies attacks by detecting significant deviations from normal behavior is using _____ detection.,Anomaly detection.,bd44e925-c10c-4d70-922b-c0eea4bcbe53,An IDS that identifies attacks by detecting significant deviations from normal behavior is using _____ detection.,Anomaly detection.,,0,2.5,0,0,7.0,0
"What cybersecurity model is based on the principle that access must be granted only when strictly necessary and continuously verified, without implicit trust?",Zero Trust (ZT).,684b2cb7-6eab-4f10-a7b2-01b7f5d9ee2f,"What cybersecurity model is based on the principle that access must be granted only when strictly necessary and continuously verified, without implicit trust?",Zero Trust (ZT).,,0,2.5,0,0,7.0,0
"In project planning, what study is conducted to determine if an IT intervention is technically, economically, and organizationally viable?",A feasibility study.,d02fb832-8f8e-47e6-807f-b9f0830db89d,"In project planning, what study is conducted to determine if an IT intervention is technically, economically, and organizationally viable?",A feasibility study.,,0,2.5,0,0,7.0,0
The strategic decision of whether to develop software in-house or purchase it from an external vendor is known as a _____ decision.,Make-or-Buy.,ef92a3ff-fbbb-464e-86f0-895938ff1c71,The strategic decision of whether to develop software in-house or purchase it from an external vendor is known as a _____ decision.,Make-or-Buy.,2026-01-28T10:10:56.894331,1,2.36,1,3,7.0,0
What is the practice of turning over all or part of an organization's IT operations to an outside provider?,Outsourcing.,c63d3960-a3b3-4ab1-a3eb-d00922ae8516,What is the practice of turning over all or part of an organization's IT operations to an outside provider?,Outsourcing.,,0,2.5,0,0,7.0,0
"In the DIKW pyramid, what is the fundamental base layer representing raw facts or measurements?","Data, which models or describes a portion of reality, such as a measurement or fact.",624a295d-9fca-4c40-914c-80479af3c9e9,"In the DIKW pyramid, what is the fundamental base layer representing raw facts or measurements?","Data, which models or describes a portion of reality, such as a measurement or fact.",2026-01-31T09:50:18.524170,6,2.46,2,5,1.0,0
How is 'Information' distinct from 'Data' in the context of the DIKW pyramid?,"Information is the interpretation of data within a context, often derived from queries on a dataset.",e593fb42-a77b-451a-b21b-78d6ce2c74d3,How is 'Information' distinct from 'Data' in the context of the DIKW pyramid?,"Information is the interpretation of data within a context, often derived from queries on a dataset.",2026-01-31T09:23:30.134374,6,2.22,2,3,1.0,0
"According to the DIKW pyramid, what is 'Knowledge'?","Knowledge is obtained by integrating information with experience, guiding decisions that can affect a situation.",06d4308b-93ee-4197-820d-2024a0162566,"According to the DIKW pyramid, what is 'Knowledge'?","Knowledge is obtained by integrating information with experience, guiding decisions that can affect a situation.",2026-01-31T09:37:47.955580,6,2.22,2,3,1.0,0
"What concept sits at the apex of the extended DIKW pyramid, representing experience applied to knowledge?","Wisdom, which helps a person take the most appropriate action in a given situation.",7b565760-5d2f-4863-8c0f-8a920de7cac9,"What concept sits at the apex of the extended DIKW pyramid, representing experience applied to knowledge?","Wisdom, which helps a person take the most appropriate action in a given situation.",2026-01-31T09:22:35.139015,6,2.46,2,5,1.0,0
What is the primary function of an OLTP (On-line Transaction Processing) system?,"To handle a large number of short, online transactions focused on fast query processing and data integrity, typical for daily operations.",d746b56e-548c-40cf-ad20-a7029846b967,What is the primary function of an OLTP (On-line Transaction Processing) system?,"To handle a large number of short, online transactions focused on fast query processing and data integrity, typical for daily operations.",2026-01-30T10:13:08.475680,6,2.22,2,3,1.0,0
What is the primary function of an OLAP (On-line Analytical Processing) system?,To support decision-making by handling complex queries on large volumes of historical and aggregated data.,1664912c-7ac8-4d83-b9ba-150bfa4b3657,What is the primary function of an OLAP (On-line Analytical Processing) system?,To support decision-making by handling complex queries on large volumes of historical and aggregated data.,2026-01-30T08:54:48.975702,6,2.22,2,3,1.0,0
Contrast the typical users and data characteristics of OLTP versus OLAP systems.,"OLTP is used by employees with current, detailed, relational data, while OLAP is used by managers with historical, aggregated, multidimensional data.",1b7b6804-cfea-45fa-801b-0e1f4730a8b8,Contrast the typical users and data characteristics of OLTP versus OLAP systems.,"OLTP is used by employees with current, detailed, relational data, while OLAP is used by managers with historical, aggregated, multidimensional data.",2026-01-30T09:14:26.628401,6,2.22,2,3,4.0,0
Compare the key performance metrics for OLTP and OLAP systems.,"OLTP systems are measured by throughput (transactions per second), whereas OLAP systems are measured by query response time.",eb38fff2-0126-44e0-ae7e-8a5dd2c3a306,Compare the key performance metrics for OLTP and OLAP systems.,"OLTP systems are measured by throughput (transactions per second), whereas OLAP systems are measured by query response time.",2026-01-30T09:14:45.201229,6,2.22,2,3,4.0,0
"The ACID properties (Atomicity, Consistency, Isolation, Durability) are critical for _____ systems.",OLTP (On-line Transaction Processing),4a931ab7-09a8-4db2-a186-ead44a82fb3d,"The ACID properties (Atomicity, Consistency, Isolation, Durability) are critical for _____ systems.",OLTP (On-line Transaction Processing),2026-01-30T10:14:10.631147,6,2.22,2,3,1.0,0
"The FASMI properties (Fast, Analytical, Shared, Multidimensional, Informational) are characteristic of _____ systems.",OLAP (On-line Analytical Processing),cafbb35e-be14-4d84-a10e-e31571b292e7,"The FASMI properties (Fast, Analytical, Shared, Multidimensional, Informational) are characteristic of _____ systems.",OLAP (On-line Analytical Processing),2026-01-30T09:10:45.188712,14,2.08,3,3,4.0,0
"In Enterprise Architecture, what is the purpose of the ArchiMate modeling language?","To provide a common, graphical language for representing an Enterprise Architecture, enabling communication between different stakeholders (business, application, technology).",4fab2db0-1b0b-4c06-b963-0a2758c4e1d1,"In Enterprise Architecture, what is the purpose of the ArchiMate modeling language?","To provide a common, graphical language for representing an Enterprise Architecture, enabling communication between different stakeholders (business, application, technology).",,0,2.5,0,0,2.0,1
What are the three core layers of ArchiMate?,"The Business Layer, the Application Layer, and the Technology Layer.",5477aa7a-0ec6-4a3e-8dca-cc451408b83e,What are the three core layers of ArchiMate?,"The Business Layer, the Application Layer, and the Technology Layer.",,0,2.5,0,0,2.0,1
The ArchiMate framework is structured along two dimensions: layers and _____.,Aspects,53e299b3-ba8d-4c33-b209-30d167002305,The ArchiMate framework is structured along two dimensions: layers and _____.,Aspects,,0,2.5,0,0,2.0,1
"What are the three aspects in ArchiMate, inspired by the structure of natural language?","Active structure (the subject), behavioral (the verb), and passive structure (the object).",53bc7eaa-ba81-4a18-93a8-ed208dfa9074,"What are the three aspects in ArchiMate, inspired by the structure of natural language?","Active structure (the subject), behavioral (the verb), and passive structure (the object).",,0,2.5,0,0,2.0,1
"In ArchiMate, which aspect represents the actions performed by a system, corresponding to the 'verb' of a sentence?",The behavioral aspect.,6c69cacb-3a7c-4edd-95f1-fe2478a344f6,"In ArchiMate, which aspect represents the actions performed by a system, corresponding to the 'verb' of a sentence?",The behavioral aspect.,,0,2.5,0,0,2.0,1
What is the semantic difference between the 'Realization' and 'Serving' relationships in ArchiMate?,"'Realization' indicates how a concrete element implements a more abstract one (e.g., a process realizes a service), while 'Serving' shows how one element provides its functionality to another (e.g., an application service serves a business process).",0a2acd3a-08e4-4d53-8166-bcff1f678940,What is the semantic difference between the 'Realization' and 'Serving' relationships in ArchiMate?,"'Realization' indicates how a concrete element implements a more abstract one (e.g., a process realizes a service), while 'Serving' shows how one element provides its functionality to another (e.g., an application service serves a business process).",2026-01-31T09:49:25.246985,1,2.04,0,2,2.0,0
"In ArchiMate's service-oriented approach, a lower-level component _____ a higher-level service, making it real.",realizes,13a6201c-8fa9-4e76-9338-76fbf8581ee2,"In ArchiMate's service-oriented approach, a lower-level component _____ a higher-level service, making it real.",realizes,2026-01-29T08:49:49.136849,1,2.36,1,3,2.0,1
"In ArchiMate's layered model, an application service _____ a business process that consumes it.",serves,fc2098a4-d1c9-431e-ba27-d4953328aeed,"In ArchiMate's layered model, an application service _____ a business process that consumes it.",serves,,0,2.5,0,0,2.0,1
The ArchiMate 'Assignment' relationship is used to express what?,"The allocation of responsibility or execution, such as assigning a business role to a business process.",d1316c89-95fa-4a6a-a27c-49434c53ff7c,The ArchiMate 'Assignment' relationship is used to express what?,"The allocation of responsibility or execution, such as assigning a business role to a business process.",,0,2.5,0,0,2.0,1
